Cluster,RA,DEC,R_Sun,R_GC,Mass,rc,rhm,rt,rho_c,sig0,vesc,RV,pmra,pmdec,RPERI,RAPO,c,Porb
2MASS-GC01,272.09085,-19.82972,3.37,4.90,3.51E+04,0.50,4.70,28.90,3.43,2.7,11.2,-31.28,-1.121,-1.881,3.67,5.11,1.762,115.254
ESO_280-SC06,272.27500,-46.42333,20.95,13.41,7.8E+03,2.38,9.65,44.09,1.01,0.8,3.2,93.20,-0.688,-2.777,1.41,13.81,1.268,322.428
NGC_6553,272.31532,-25.90775,5.33,2.93,2.85E+05,0.87,4.56,48.25,3.83,7.5,28.7,-0.27,0.344,-0.454,2.81,3.59,1.744,87.961
2MASS-GC02,272.40210,-20.77889,5.50,2.91,1.58E+04,0.63,2.85,15.28,3.04,2.2,8.5,-237.75,4.000,-4.700,0.87,6.11,1.385,127.459
NGC_6558,272.57397,-31.76451,7.47,1.08,2.65E+04,0.17,1.70,9.51,4.80,4.1,16.5,-195.12,-1.720,-4.144,0.51,1.41,1.748,61.285
IC_1276,272.68444,-7.20760,4.55,4.34,7.39E+04,1.18,5.21,37.32,2.90,3.6,13.6,155.06,-2.553,-4.568,3.69,6.91,1.500,150.444
Ter_12,273.06583,-22.74194,5.17,3.17,8.72E+04,0.84,3.28,32.11,3.32,4.3,17.6,95.61,-6.222,-3.052,1.80,3.73,1.582,84.751
NGC_6569,273.41167,-31.82689,10.53,2.59,2.36E+05,1.10,3.85,41.61,3.58,7.3,27.3,-49.83,-4.125,-7.354,1.69,2.71,1.578,92.784
BH_261,273.52750,-28.63500,6.12,2.20,2.2E+04,0.34,4.66,16.48,3.54,2.1,8.6,-45.00,3.566,-3.590,1.62,3.12,1.685,80.269
NGC_6584,274.65665,-52.21578,13.61,6.99,1.02E+05,1.55,5.37,55.84,2.78,4.0,15.1,260.64,-0.090,-7.202,2.28,19.72,1.557,697.532
NGC_6624,275.91879,-30.36103,8.02,1.20,1.56E+05,0.33,3.69,19.45,5.05,7.0,29.1,54.79,0.124,-6.936,0.30,1.38,1.770,45.640
NGC_6626,276.13704,-24.86985,5.37,3.02,2.99E+05,0.29,2.26,47.61,5.11,11.3,45.2,11.11,-0.278,-8.922,0.59,3.03,2.215,69.773
NGC_6637,277.84625,-32.34808,8.90,1.71,1.55E+05,0.85,3.69,25.34,3.65,6.1,23.3,47.48,-5.034,-5.832,0.39,2.06,1.474,90.369
NGC_6638,277.73373,-25.49747,9.78,2.30,1.18E+05,0.46,2.20,29.94,4.31,6.9,26.8,8.63,-2.518,-4.076,0.33,2.30,1.813,64.539
NGC_6642,277.97596,-23.47560,8.05,1.66,3.44E+04,0.17,1.51,15.42,4.86,4.8,19.4,-60.61,-0.173,-3.892,0.29,1.82,1.958,31.678
NGC_6652,278.94012,-32.99072,9.46,2.18,4.81E+04,0.26,1.96,18.84,4.57,4.9,19.6,-95.37,-5.484,-4.274,0.32,3.11,1.860,80.832
NGC_6656,279.09976,-23.90475,3.30,5.00,4.76E+05,1.04,5.29,77.20,3.95,8.9,35.2,-148.72,9.851,-5.617,2.96,9.59,1.871,205.487
Pal_8,280.37729,-19.82886,11.32,4.09,6.74E+04,1.95,5.86,34.48,2.35,3.1,11.6,-31.54,-1.987,-5.694,1.15,4.13,1.248,98.762
NGC_6681,280.80316,-32.29211,9.36,2.29,1.16E+05,0.07,2.89,27.72,6.33,7.1,29.4,216.62,1.431,-4.744,0.86,4.97,2.598,156.440
NGC_6712,283.26802,-8.70596,7.38,3.55,9.63E+04,1.06,3.21,33.66,3.30,5.1,18.6,-107.45,3.363,-4.436,0.41,4.85,1.502,57.925
NGC_6715,283.76385,-30.47986,26.28,18.51,1.78E+06,0.54,5.20,283.30,5.18,19.2,76.8,143.13,-2.679,-1.387,14.61,46.32,2.720,1774.843
NGC_6717,283.77518,-22.70147,7.52,2.38,3.58E+04,0.20,4.23,19.80,4.37,3.3,13.6,30.25,-3.125,-5.008,0.74,2.54,1.996,71.990
NGC_6723,284.88812,-36.63225,8.27,2.47,1.77E+05,1.68,5.06,37.16,2.96,5.5,20.0,-94.39,1.028,-2.418,2.08,2.82,1.345,108.107
NGC_6749,286.31406,1.89976,7.59,4.94,2.11E+05,1.44,7.09,63.40,3.04,5.1,19.9,-58.44,-2.829,-6.006,1.43,4.95,1.644,101.747
NGC_6752,287.71710,-59.98455,4.12,5.30,2.76E+05,0.13,5.27,67.43,5.93,7.6,31.7,-26.01,-3.161,-4.027,3.37,5.48,2.715,132.162
NGC_6760,287.80027,1.03047,8.41,5.17,2.69E+05,1.07,5.22,71.60,3.54,6.8,26.3,-2.37,-1.107,-3.615,1.85,5.80,1.826,116.663
NGC_6779,289.14819,30.18347,10.43,9.91,1.86E+05,1.18,4.51,96.87,3.35,6.0,22.7,-136.97,-2.018,1.618,1.27,13.14,1.914,169.804
Ter_7,289.43298,-34.65772,24.28,16.85,2.4E+04,4.28,13.21,64.78,0.87,1.2,4.6,159.85,-3.002,-1.651,14.56,51.29,1.180,2183.650
Pal_10,289.50693,18.57899,8.94,7.60,1.62E+05,2.09,6.33,67.29,2.63,4.6,17.3,-31.70,-4.322,-7.173,6.45,12.73,1.508,300.338
Arp_2,292.18381,-30.35564,28.73,21.39,3.7E+04,7.84,18.45,85.77,0.40,1.3,4.6,122.64,-2.331,-1.475,17.81,52.13,1.039,2132.275
NGC_6809,294.99878,-30.96475,5.35,4.01,1.93E+05,2.90,6.95,51.52,2.39,4.9,17.3,174.70,-3.432,-9.311,1.57,5.62,1.250,140.691
Ter_8,295.43503,-33.99947,27.54,20.43,6.21E+04,10.62,21.53,101.42,0.30,1.6,5.4,148.43,-2.496,-1.581,17.62,60.49,0.980,2811.525
Pal_11,296.31000,-8.00722,14.02,8.70,1.19E+04,4.08,7.72,31.87,0.84,1.2,3.9,-67.64,-1.766,-4.971,4.56,8.72,0.893,223.652
Sagittarius_II,298.16471,-22.06525,66.53,59.54,1.85E+04,20.39,39.31,151.12,-1.06,0.6,2.1,-175.73,-0.804,-0.882,42.34,92.20,0.870,5239.762
NGC_6838,298.44373,18.77919,4.00,6.86,6.56E+04,1.48,6.57,43.17,2.51,2.8,11.1,-22.72,-3.416,-2.656,4.81,7.12,1.465,160.345
NGC_6864,301.51978,-21.92116,20.52,14.30,3.7E+05,0.38,2.96,153.65,4.96,11.1,44.6,-189.08,-0.598,-2.810,1.14,16.19,2.607,439.102
NGC_6934,308.54739,7.40447,15.72,12.83,1.36E+05,1.22,5.16,86.40,3.15,4.8,18.5,-406.22,-2.655,-4.689,2.96,42.26,1.850,1955.431
NGC_6981,313.36542,-12.53731,16.66,12.53,6.89E+04,2.07,5.96,49.82,2.30,3.1,11.4,-331.39,-1.274,-3.361,0.59,22.13,1.381,712.395
NGC_7006,315.37263,16.18732,39.32,36.67,1.36E+05,1.59,6.99,156.71,2.79,4.1,15.9,-383.47,-0.128,-0.633,2.31,50.72,1.994,914.337
Laevens_3,316.72938,14.98440,61.77,58.85,2.12E+03,2.69,9.46,37.93,0.38,0.4,1.7,-70.30,0.172,-0.666,11.43,77.19,1.149,1900.608
NGC_7078,322.49304,12.16700,10.71,10.76,6.33E+05,0.04,4.30,140.75,7.12,13.1,51.3,-106.84,-0.659,-3.803,3.89,10.75,3.546,239.965
NGC_7089,323.36258,-0.82325,11.69,10.54,6.2E+05,0.77,4.77,111.48,4.31,11.0,43.4,-3.78,3.435,-2.159,0.84,18.80,2.161,262.794
NGC_7099,325.09213,-23.17986,8.46,7.36,1.43E+05,0.06,4.99,75.59,5.91,5.6,23.3,-185.19,-0.737,-7.299,1.51,8.56,3.100,124.696
Pal_12 ,326.66180,-21.25261,18.49,15.28,6.27E+03,3.86,10.52,39.71,0.47,0.7,2.5,27.91,-3.220,-3.333,15.11,51.04,1.012,2175.252
Pal_13,346.68519,12.77154,23.48,24.57,3.02E+03,1.97,16.95,38.56,0.59,0.4,1.7,25.30,1.748,0.104,6.85,57.92,1.292,1097.763
NGC_7492,347.11117,-15.61147,24.39,23.57,2.66E+04,4.70,9.89,94.38,0.96,1.5,5.2,-176.70,0.756,-2.320,2.50,26.03,1.303,382.828
